A2407 A2402 A2301 A0205 A0206 A0207 A0202 A0203 A0211 A0201 A0204 A3101 A7401 A3301 A3303 A3401 A6601 A6801 A3601 A0101 A3002 A2902 A3201 A6802 A2501 A2601 A3001 A0301 A3402 A1102 A1101 B5101 B5401 B5501 B5601 B5502 B5301 B3507 B3501 B3503 B0704 B0702 B4201 B3701 B4001 B4002 B1801 B4402 B4403 B4901 B4501 B4006 B5001 B1510 B3802 B3801 B2705 B1402 B0801 B5201 B1302 B1301 B5802 B1517 B5703 B5801 B5701 B1503 B1501 B1502 B4601 C1701 C0801 C0303 C0304 C0202 C1202 C1203 C1601 C0302 C0401 C0403 C0501 C0802 C1403 C1402 C0702 C0701 C0602 C1502 C0102 C0704 G0101 G0103 G0104
A2407 1 0.89832549178003 0.925571291910016 0.208911257413279 0.182555809110863 0.196457215639669 0.185440983755697 0.117363742892523 0.162901594385482 0.185873290378782 0.218953069271399 0.0858367825941456 0.0197014914595742 0.0359777471082836 0.0908871658572179 -0.00505482644263278 -0.0101954921507726 -0.00888032424814697 0.0120111192891322 0.0177466427147741 0.0854969552892367 0.241872780474184 0.258080636950893 0.124692694561472 0.196059466231129 0.123963286983298 0.13262033470696 0.065787148588551 -0.0054820850846665 0.0188585364953797 0.031174983722162 0.120080256591347 0.00898841080278511 0.0137849264226076 0.0103871778806391 0.0119965962512604 0.246479021765859 0.186437858371723 0.23391493809718 0.178892341512744 0.171750792665509 0.183430688161895 0.197620581438317 0.290978357920817 0.174518952846967 0.16914164392885 0.142443486000257 0.222976463589782 0.230494978050493 0.0809468406089371 -0.0117527356783052 0.00479213344815042 0.0415453339695782 0.171567532692479 0.219621985395051 0.23553576921796 0.210026564463094 0.138650598688188 0.202181305501655 0.0906372613448927 0.167203158169702 0.296894717590543 0.263143883705518 0.315777463820312 0.41564711549136 0.256196592038115 0.252766308990743 0.206197347941907 0.209229331952575 0.137517099113371 0.18985434491466 0.23762525682044 0.221209262681697 0.247803196414043 0.259385182129144 0.265842246573753 0.262949395995048 0.208899191489108 0.270727075038309 0.288539996596575 0.513051467718882 0.328360717154079 0.191456719792201 0.166719308182976 0.761923869089802 0.750721392200429 0.442576843928703 0.296548005934182 0.24714964456246 0.246166338348724 0.207463919585467 0.314203306907632 0.311045517754222 0.314908587951813 0.318035519787797
A2402 0.89832549178003 1 0.979938475646438 0.280697040128946 0.242557301997574 0.241495829894023 0.239101527365034 0.168305769834262 0.207734650183895 0.233468547303259 0.293765645046697 0.11224560501515 0.0260192032440073 0.0632661080909435 0.126981984337323 0.000975884253954058 -0.00660486213120055 0.00157224631683879 0.000458222202536235 0.0159645743027315 0.0964728052195252 0.179040628017048 0.217242419829268 0.184897209025037 0.194321117680656 0.130494749169472 0.127531837850052 0.0613470776394694 0.00532875044084611 0.0280726497736656 0.0371633950526716 0.131890901690798 0.0191115773714281 0.0095969089312085 0.0137382564231907 0.0150320631712485 0.202845135474195 0.16300543609835 0.21903473040166 0.199921137664535 0.185026139787485 0.200795544310393 0.209264716850655 0.267986058849236 0.206831102287041 0.190570250709432 0.120782083538203 0.2097818542885 0.204642432034277 0.0936859936005628 -0.000454503559301559 0.014018485371544 0.0469263913862221 0.196371439279627 0.231168687291718 0.245394882614488 0.207977356850254 0.184167181049218 0.245400597191921 0.0885111908029464 0.165593898183387 0.295119111876564 0.262031887673437 0.264499268656293 0.347173484349582 0.198641626525545 0.20737040459812 0.16828705874784 0.171747002657285 0.107540892141201 0.170949844580165 0.265620366132394 0.248233898462564 0.265705752180025 0.27831174189662 0.218001036507614 0.22253712652841 0.204426805806264 0.246820606009711 0.262011611723902 0.408317483056006 0.281069735896024 0.179811518882957 0.182010492895767 0.748259074763413 0.732705636724653 0.486911057313358 0.301551623491955 0.309289974985001 0.236945964261257 0.255220351523504 0.321572533144877 0.320528118699327 0.323189567813485 0.317501719371368
A2301 0.925571291910016 0.979938475646438 1 0.292362205525235 0.268207894573831 0.231279808028699 0.237865680070448 0.162522774217935 0.224601521764725 0.24365300332988 0.300438068488159 0.109281379678798 0.0315391586908126 0.065110202794586 0.128320663476378 0.0104682657897974 0.00157089148904011 0.00974896062110041 -0.00281026114010856 -0.00938533556735229 0.115962102839744 0.19747464029171 0.25169736260693 0.183128192952229 0.215875993912468 0.157358194534786 0.145389658314506 0.0609962543880544 0.0157015558284602 0.0383059312297787 0.0468034387655229 0.128747004733664 0.00889426114377557 0.0175860078217467 0.0163601288500781 0.0200304611112129 0.214576707120929 0.175449902341881 0.221558162664919 0.202345334017059 0.194605131247751 0.202033518746396 0.215672019257508 0.294630370512863 0.215534452635759 0.20948372593022 0.12796548304851 0.212212558511938 0.217326917015 0.104364465270044 0.00223096714379972 0.0301527520231924 0.0432057960987124 0.198201190902363 0.229605328013529 0.243659669073592 0.223084293579214 0.192047521290406 0.239738339347066 0.105998345905078 0.188176314580048 0.314007154149679 0.294963543540061 0.30262963487178 0.390996367244833 0.225981396075211 0.2224628779631 0.19077623130352 0.193256676304736 0.125932894910326 0.182631412386022 0.274469232578875 0.254152812560169 0.273816688554711 0.285311934525929 0.240180471602151 0.238791391752908 0.211221700371417 0.237089277720683 0.266744198247388 0.415153348642973 0.274682765080108 0.18355295029435 0.171838236064804 0.761174626711722 0.747118720324523 0.476358382091464 0.318204583081884 0.291599567761275 0.255151979127287 0.237497944601676 0.328460018317445 0.340596216522623 0.344934760517602 0.335757611849669
A0205 0.208911257413279 0.280697040128946 0.292362205525235 1 0.809600971616609 0.664502832014588 0.756345057341518 0.656706970810626 0.72765077389429 0.669972698899619 0.738731771633218 0.142584408934726 0.192416784702064 0.0608237128100177 0.0702426885131245 0.165807793828086 0.157595031772807 0.199199226495233 0.0715851401936328 0.0871616446120146 0.206831422917944 0.150560617586129 0.345208368236082 0.675266154067714 0.390339508546778 0.377588596640774 0.343021169678692 0.224376755177164 0.145331670605189 0.194705592718554 0.205924957667291 0.192088760211381 0.158118614452004 0.136173387670735 0.149852863424009 0.149411429860755 0.202577444612405 0.186245908590849 0.238323163687088 0.427386757342362 0.381918117696122 0.385735647690081 0.398743417867556 0.247994825029131 0.442729641049977 0.417456234081308 0.0742986790332871 0.143784600841718 0.136908388747533 0.23443417789867 0.0950693910815076 0.156447914789367 0.117828077461722 0.41301513695432 0.352722802361811 0.351470100824132 0.233344007984116 0.395637673969142 0.517407305466325 0.343537682791827 0.529518513630175 0.635037512134784 0.379152848748949 0.370898195713827 0.331508991364444 0.211100511014989 0.182883488672074 0.174321873177637 0.344964245932084 0.25786790288619 0.317191859644409 0.592803737758625 0.608388783607657 0.580506384268925 0.59363516302921 0.352272388175739 0.353902829910865 0.476831208605669 0.368783377099577 0.395453590423213 0.273060655876734 0.370131601948117 0.364209934440233 0.420278304192934 0.347107294591779 0.333301099840288 0.336250401733496 0.46570673445674 0.592555998024423 0.542202681753371 0.536401698782841 0.590232343212616 0.576157914116604 0.582593284973642 0.571908674219086
A0206 0.182555809110863 0.242557301997574 0.268207894573831 0.809600971616609 1 0.670985168518847 0.554421678020401 0.708973698993924 0.755104258290033 0.716790732767234 0.683040141061992 0.206110918925255 0.201241573345916 0.0919045460436325 0.100208842703059 0.153823787195736 0.148805586793132 0.181294381955952 0.107755187069745 0.123373278703459 0.190642976862377 0.202023295868528 0.314762776181195 0.640202321521756 0.373472896116234 0.352842243682557 0.347143092395421 0.290207213271587 0.210475794613517 0.253155774539472 0.262794155298229 0.352538778893887 0.246263752905548 0.182476368094187 0.199686155353934 0.210060055706104 0.145332034293516 0.14890942334032 0.189536553718041 0.252191499284573 0.256147208774103 0.237705925441048 0.261196263676184 0.263379216466055 0.261630932354876 0.326083250850345 0.0572444218090131 0.107298468685569 0.121514956176832 0.352152936623561 0.120730198850296 0.216576104600741 0.192128723324936 0.266561194425193 0.228814842682579 0.234502277035691 0.218295767282871 0.282017756757302 0.456898706732839 0.511586112471784 0.648370543064647 0.487209844252675 0.283929570875939 0.331684794482879 0.296274292597673 0.207587306689978 0.196125244542718 0.159302442841948 0.286303804313977 0.240125027929373 0.268162280420621 0.393651411912006 0.455052947149091 0.419881213171912 0.430312972560715 0.320087648264918 0.261055671222326 0.446478701284163 0.312812114365965 0.360502282507018 0.229151136770906 0.313835764590423 0.335939688497521 0.316284905789175 0.252448447307328 0.248389778728081 0.217018927626215 0.322744991742065 0.498992416178762 0.615389813019453 0.372542060305976 0.466767489305592 0.403166543551796 0.407979489811017 0.407930943726781
A0207 0.196457215639669 0.241495829894023 0.231279808028699 0.664502832014588 0.670985168518847 1 0.770154845955331 0.753026691913567 0.828658517155276 0.83905633688038 0.79333930685909 0.136088107277853 0.204225609223962 0.0479101120724467 0.0334243095298271 0.0810916518053232 0.0439366892487597 0.079513163256173 0.269825574780261 0.364039509588297 0.118170350370426 0.199761529221351 0.300120525911017 0.46343194627844 0.18501402811957 0.179863076157612 0.256309872412735 0.329610892034234 0.0712265534964234 0.109751449945683 0.11771459899627 0.231756958818538 0.142634579944102 0.0767150217436745 0.0923269238317562 0.0910083848565712 0.16484538008126 0.134658395456378 0.196806313796791 0.336391444477107 0.270909599656657 0.283886609405681 0.295569401310639 0.193723707836299 0.326639727433294 0.28898262568582 0.0429019824511864 0.105246143273188 0.108814416391584 0.209328130090108 0.0385748162302657 0.065356746049551 0.0817311489616626 0.302137322924127 0.326444121521127 0.317306980028439 0.17578455670902 0.261765297758062 0.514246340205018 0.235906425146641 0.475531645522114 0.56886904490908 0.218366631792505 0.237415100056903 0.182038054160327 0.104855812331753 0.0918166143651218 0.0620251826500134 0.193252698283717 0.283413610417026 0.262514376734779 0.438558972584708 0.510465962126553 0.45110100191458 0.458995770214835 0.210842169454682 0.228000973010444 0.328704375391234 0.263864511985376 0.331362667578828 0.569604522007044 0.636208536962923 0.62233538109146 0.654080942239972 0.277704032287122 0.268098592005373 0.292790559427236 0.334526884618193 0.478364575891884 0.440233674091888 0.525617618594714 0.467868339208018 0.49903103188282 0.503361180302094 0.507028963983233
A0202 0.185440983755697 0.239101527365034 0.237865680070448 0.756345057341518 0.554421678020401 0.770154845955331 1 0.829657683645844 0.848670587460354 0.885096988451142 0.904924205870082 0.119239428766951 0.247620381548872 0.0423973073831884 0.0233875625006205 0.0848730683588139 0.0411631990926667 0.0734401006068946 0.0559578383418677 0.113035998515786 0.147269137467405 0.163341588957571 0.379788520858623 0.464984796665272 0.154959953120716 0.162642639708599 0.238858533847593 0.332525406657983 0.0377399368555508 0.0759486970001982 0.0835281570130176 0.109633585084772 0.0647311506232067 0.0564984671093465 0.0644347053566377 0.0645237361778176 0.162514765957252 0.129035639558779 0.171658797775339 0.379673140344952 0.335369455768424 0.355205023379582 0.346619873759631 0.216925552429585 0.399182217445417 0.344219688519116 0.0516038464493538 0.120868743786 0.105302893064916 0.157753292627596 0.0429226006656151 0.0631197642512392 0.0482886805786089 0.366490089634618 0.317574181316025 0.310246150273768 0.193664428174091 0.334461852637219 0.588040034077415 0.151365881725308 0.452269767472671 0.636598866737048 0.281235149381985 0.263341604038291 0.21168849753607 0.117451560662622 0.0862803496697513 0.0884113015212999 0.237438070939995 0.335485903704023 0.26642382492896 0.500729124253746 0.48606898020958 0.46595169304472 0.477615993761271 0.222007884343092 0.243309028236021 0.331963406927038 0.304843812652483 0.297767833966369 0.262481143358279 0.292390724413375 0.294690145268885 0.367922384598849 0.282912960523781 0.262325748279424 0.277042466977075 0.382569143742558 0.479555793819757 0.397294628724434 0.443721713047738 0.498362901026318 0.481429612313218 0.489947770944484 0.494326263342859
A0203 0.117363742892523 0.168305769834262 0.162522774217935 0.656706970810626 0.708973698993924 0.753026691913567 0.829657683645844 1 0.883226827571598 0.915594747282628 0.841612282529728 0.177603892120763 0.281408915890744 0.0864062323120616 0.0680919716652148 0.109863619140642 0.0699626812318557 0.106723489018736 0.063552060382971 0.135312229412663 0.139716996743592 0.204011313253718 0.336517380019926 0.482073798080661 0.214690584183774 0.221848746299907 0.308142192306321 0.411172670927405 0.0952319313852077 0.132041753039647 0.137273789101381 0.282620206821493 0.205737612191254 0.187151459095897 0.184119107064089 0.187207262929694 0.10495721534655 0.0944620030999285 0.136970680282164 0.186025692126741 0.254554660084954 0.229890594025025 0.249446344245313 0.178691089873011 0.194797445098279 0.263168415251303 0.0559764223876956 0.0981849760002711 0.1044789676223 0.289414820091905 0.114214706537838 0.169319650767225 0.153321074086231 0.229878297319143 0.185839116281946 0.184262894949524 0.162025837605998 0.216531203168505 0.542033514378538 0.381813010483196 0.602834095322139 0.465844721450154 0.167516792624082 0.217803314154154 0.122826902125375 0.0822329577567251 0.100540403566194 0.11051023335452 0.272956346019244 0.369613399277378 0.338086020281803 0.318078311866518 0.312128697963684 0.311025338731274 0.316228260366912 0.274136363453473 0.251778593032494 0.378034097647788 0.275664876573979 0.279821046263794 0.201926068995314 0.221247991345023 0.228405348121663 0.229854266668646 0.215013662731353 0.202118198200457 0.184410723210047 0.253981179250755 0.481021762286378 0.465468993298763 0.299768321528057 0.361721321980689 0.266792900965822 0.270794183292813 0.289801769627543
A0211 0.162901594385482 0.207734650183895 0.224601521764725 0.72765077389429 0.755104258290033 0.828658517155276 0.848670587460354 0.883226827571598 1 0.924421213909667 0.857574472785891 0.17930783782348 0.287819204037247 0.0736063584072304 0.0537167438888113 0.0866661816108373 0.053503985880642 0.100795555850214 0.103378518777152 0.150487942181528 0.194911324125009 0.201637266962402 0.457442142156677 0.558611437996178 0.162539490235491 0.178991608639289 0.297156498239604 0.379988999490521 0.0806538459891677 0.134173283863458 0.141047062584356 0.303917968335625 0.203964295173943 0.143726602702251 0.163334362878424 0.173590477158884 0.130193255058556 0.120718242723073 0.173590895707114 0.255768387115311 0.254205856742902 0.25400386289297 0.270779396759813 0.228343298641355 0.2716715777852 0.304318359230855 0.0712386868144693 0.0995935427184536 0.108564960832135 0.279274707028832 0.0689499552221381 0.160529952963358 0.117391048795041 0.259054008830196 0.229019790208504 0.225473861547518 0.199980352300303 0.268475897474382 0.521401864140104 0.397936189222288 0.632710264538787 0.565104152966573 0.307788494691369 0.256266284473734 0.265739231165319 0.16435647858682 0.159838281517318 0.0998354138119401 0.238082929536612 0.318371386670232 0.263447692514099 0.374929973292574 0.416661453212666 0.374779752126528 0.384095605827998 0.265774994244925 0.244802361354074 0.394835736580186 0.266970403263514 0.29222689331688 0.270688008434516 0.319534298630631 0.329704106545208 0.337719754975787 0.234024923114662 0.219455021321573 0.216810828145609 0.322992087987178 0.491272844369486 0.494370647215651 0.356568055525991 0.404787779090908 0.385971104741825 0.392060999526602 0.395622589436333
A0201 0.185873290378782 0.233468547303259 0.24365300332988 0.669972698899619 0.716790732767234 0.83905633688038 0.885096988451142 0.915594747282628 0.924421213909667 1 0.942757223753216 0.192448522007518 0.278828523498613 0.0807144590836243 0.0560786788219478 0.0836582069671579 0.0451919879899662 0.0872224632658023 0.0900702649883224 0.174743773504751 0.130237223700752 0.250189816799143 0.377706151400103 0.465267786091265 0.158716975353178 0.162177319364503 0.265264011655084 0.437039254715242 0.103010081247722 0.150372719213835 0.158548322049563 0.2690870983565 0.187934241607267 0.126161164815809 0.141501884715576 0.145636789446181 0.141978001851029 0.136505800206363 0.191257324708386 0.29954407849016 0.267714704108099 0.281940290248238 0.283930007785844 0.237211954953553 0.306732044360855 0.308224625817044 0.065060071332041 0.120977601975012 0.128656008702924 0.243903642720782 0.0868288629373776 0.140540450050437 0.138496625211696 0.30816897660726 0.264105383225584 0.26487204609907 0.231857406055174 0.302916494579327 0.609176281345642 0.304326659932395 0.578270781541319 0.567318394877153 0.23178543898217 0.283164682278386 0.194964343866793 0.111009798297835 0.115134422764103 0.105250923303965 0.226533358922448 0.352903705570073 0.265877716356101 0.425700764210731 0.422418548896203 0.413679253058714 0.426149616183424 0.22417698213642 0.208949197967111 0.379050999010985 0.294288476700861 0.32182088593219 0.28301819210951 0.322906746902588 0.316712047696738 0.346122553871543 0.268480893671273 0.259696063769039 0.243040496065167 0.331970267995268 0.48246912064164 0.484839632158293 0.373446222078985 0.472876941789614 0.405122709180699 0.409203214232322 0.428544213131941
