A2301 A2402 A2407 A6802 A0204 A0203 A0211 A0207 A0206 A0201 A0205 A0202 A3601 A0101 A2501 A2601 A3401 A6601 A0301 A3402 A1101 A1102 A3201 A3002 A3001 A2902 A7401 A6801 A3101 A3303 A3301 B4601 B1517 B5801 B5802 B5703 B5701 B4201 B0801 B0704 B0702 B1402 B5501 B5601 B5502 B5401 B5301 B3503 B3501 B3507 B5201 B5101 B5001 B4901 B1510 B1503 B1502 B1501 B4403 B4402 B3701 B4501 B3802 B3801 B1301 B1302 B2705 B1801 B4001 B4002 B4006 C0701 C0702 C1701 C0801 C1502 C1202 C0202 C0302 C0303 C0304 C0704 C0802 C0501 C0403 C0401 C1203 C0602 C0102 C1601 C1402 C1403 G0101 G0103 G0104
A2301 0 11.7691333580685 13.12048017414 30.3705498797766 28.2375565515149 33.486539086624 31.5600633712925 31.5391534445679 29.4554867554417 30.7386906032121 29.6890333288236 30.9625596487112 34.1411935936634 33.116160707425 30.7512812741193 33.3863864471733 34.0368520871129 35.2025822916445 33.1206627349152 32.3482178798153 33.2731573494311 33.2731573494311 24.9157379983014 27.3233288601517 28.6987943997653 29.7272888101152 29.6772640248389 30.2479172836743 28.8430667578883 29.3017542136985 30.1347457264866 37.3366147367433 32.7341152316662 32.2978482255397 30.1421001259036 28.4245052727396 29.432933934625 36.3501898206873 35.9867600653351 38.6941881940945 38.9268108120868 36.3852525070254 36.0435236901166 35.2339225747006 34.0792106716103 33.3891524300932 34.1998947366801 36.7290266682906 37.1212082238712 37.1212082238712 35.0788340741251 34.9544746777862 40.1070791756268 37.4196004788934 39.077549820837 39.8617385471331 38.6226125475737 38.552862409943 36.2254371954294 38.6598021205489 38.8606819291685 39.5390971065349 35.1466043879064 34.0003661744988 34.1107988766021 32.966969833456 34.3164100686537 36.8691849652254 37.4657737141514 35.9174010752448 36.0694274975359 36.3997664827674 37.4414516278416 38.7878975970598 35.0577509261504 37.7764543068828 37.4793796640232 38.442570153412 37.7426151717127 37.2351057471306 37.2351057471306 38.252793362054 40.0918757356151 40.7640981747419 39.5262975751588 38.7539997935697 35.9513963567481 36.6112892425274 39.0493815572027 35.6118477476247 36.6152017610172 36.6152017610172 32.0448935089508 32.1946563889103 32.3925763100128
A2402 11.7691333580685 0 5.79952584268749 31.8250435977706 30.592026739005 34.8110815689487 33.6830832911715 33.6634920945525 31.7196815873047 32.9147322638359 31.1753396132263 32.3904800828886 31.6283353972352 30.5190202988235 32.188575613096 34.7147504672005 35.3407753169055 36.4648447137788 35.1495490724988 34.4226625931231 31.1221866198376 31.1221866198376 27.5555166890407 29.7502403351637 31.0182736463524 31.9722410850413 31.9257341340806 31.7080368361083 31.1518057261533 31.5769742058988 32.3514358259413 38.5290267201236 34.7855544730855 34.3753327256624 32.3582864194011 30.7646712967976 31.698739722582 34.1883576674867 33.8016922653289 36.6708017365315 36.742714924186 38.2413271213225 37.9163302549179 37.1475678880866 36.054196704406 35.4026552676491 36.1682913613568 38.5685610309744 38.9422213028482 38.9422213028482 37.0005013479547 36.8826219241528 41.7982092917866 39.226763822676 40.8113636135819 41.562852404521 40.3759668614883 39.7087685530539 38.089300334871 36.6345165110719 36.8464394480661 37.5612526415188 37.064758194274 35.9796803765681 36.0840560358727 35.0047653898723 36.2784853597831 38.7020580848099 39.2708123165284 37.7964575059621 37.9409554439526 38.2551369099628 39.2476088443615 40.534102925808 36.9805137876693 39.5673223759203 38.6673893610624 39.6016956707664 39.5350161249493 39.0508079301824 39.0508079301824 36.2047469263355 37.974846938467 38.6838751936773 37.3772484273522 36.5595815074516 37.1882508327563 37.8265726705447 36.8725466980517 33.610879191119 34.2841581492094 34.2841581492094 29.3531207880866 29.5165445132048 29.7322972539964
A2407 13.12048017414 5.79952584268749 0 31.2921539686868 31.1369009376335 35.2908755912913 34.1787155990391 34.1594086599871 32.2455066637198 33.4217608752142 31.7101923677546 32.9055876713971 32.155654246182 31.0651750357213 32.7068631941371 35.1958577108159 34.8616680610667 36.0006999931946 34.6677991802191 33.9305938645347 30.5770502174425 30.5770502174425 28.1592080854558 30.3102507412921 30.4712782797178 31.4418463198331 32.4482202901792 31.1731470981035 31.6870557168065 32.1051366606654 32.8671553378141 38.0900433184316 34.6304389230053 34.2183576461524 32.1914771329307 30.5891729211497 31.5284411286064 33.6928671976726 33.5104953708536 36.2092971486606 36.2821250755796 37.9841809178505 37.4701694685252 36.6920604490944 35.584696148766 34.9243969167687 35.8962978592501 38.3136111584382 38.6897337804229 38.6897337804229 36.7346702721012 36.6159350556557 41.5630749584291 38.9761196118854 40.570510226025 41.3263789848566 40.1325005450695 39.4611859933277 37.8311207869923 36.3660102293337 36.5794887881173 37.299418226026 36.7993912993136 35.7062501531595 35.8114227586674 34.7236590813814 35.9390623138668 38.4479934456923 39.0204510481363 37.5362637991583 37.6817595130588 37.8129739639717 38.8167528265825 40.1170661938283 36.5229229388887 39.1399859478769 38.229994768506 39.1747342045865 39.107326679281 38.6177562786861 38.6177562786861 35.7372242906469 37.5293818227799 38.2466691360176 36.9245744728358 36.0966549696783 36.7332478825382 37.3793405506304 36.4135991080256 33.1067470464858 33.790072506581 33.790072506581 29.9205648342407 30.0809059039119 30.2926393699856
A6802 30.3705498797766 31.8250435977706 31.2921539686868 0 21.2527198259423 20.079228072812 18.8504933622439 19.2561548601999 16.5129524919077 17.440487378511 15.4973158966319 16.4821054480306 28.6033634385888 31.4635153789274 25.4454750397787 20.0285021906282 17.1670207083233 17.8003230307767 24.6343053484364 22.771774195262 24.7925936521373 24.7925936521373 27.0710269476428 28.2281030180917 22.3640626899497 25.0250834164444 20.8771238440548 16.9582192461355 22.8461900543614 21.5672459994316 22.686035352172 26.3389958046999 30.0982624083185 29.995731362979 33.091396162749 30.9188421516718 31.8483892842323 30.1103204898254 31.9450309124909 32.9019042002131 32.8709948130567 33.5333490722296 30.400057565735 29.4356450583302 28.0431899041461 27.2004301436577 30.6919777792178 28.6307334869367 29.1321403264504 29.1321403264504 34.8523729464724 34.0960965507784 34.8974741206294 36.209799778513 32.2886977129769 33.8806449171204 31.0226320611259 31.109270322526 34.3515152504224 36.2796664813777 31.8223364949841 36.5643036307271 29.8988009793035 31.1961087316992 28.6501012214617 30.2070620881939 29.9220136354491 30.7585971721728 32.1539033400301 32.4065240345212 32.4769010221111 27.7430946363235 29.3158626003056 28.1297867037772 24.621986109979 25.5983358834124 26.5409834030316 27.0545060941796 28.3143302940402 26.811225261073 26.811225261073 30.0130988070209 30.3043726217851 30.4483726987174 29.8446963462522 30.840907898439 29.6195307187673 31.712852284208 33.0450283703918 29.705965730809 33.4762707003035 33.4762707003035 29.3710452657034 29.5343698087499 29.7499932773102
A0204 28.2375565515149 30.592026739005 31.1369009376335 21.2527198259423 0 17.9996861083742 15.964172386942 14.6334001517077 13.3791068461239 12.1452665676798 15.5776731253419 14.5317204762547 26.1449784853612 29.2465433855011 32.1229092704879 28.0276649045189 26.2262292371587 27.7223664213573 21.75604973335 23.9940617653619 24.3348474414778 24.3348474414778 23.5387680221374 26.5474650390579 21.8028071587124 22.7366774177759 16.0339452412686 21.0771036909723 20.9336833834851 22.5635857079499 23.6352596770165 32.089895605938 33.5786792474034 30.4129150197741 28.6617026709859 26.2630329550873 27.3512705372164 35.1078467012718 37.4470973507961 37.5295190483438 37.7693155881861 35.144148872892 34.7262350392322 33.8851752245728 32.6828456533393 31.9626547708415 35.7596057025242 34.006922824625 34.4301248908568 34.4301248908568 36.9641042093542 36.846108342673 39.3914508491373 40.5586279353728 36.9547953586541 37.783067636178 36.0438011314012 36.3995219748831 38.3841594932076 40.6895772895222 37.2799490342999 41.4356295957959 34.8860315885886 36.004084490513 33.3788166357047 32.6209089388999 34.7387622116851 36.1509916876425 36.759238294611 35.1797825462296 35.2719747108097 34.0102219928068 34.4654334079814 32.6110748059612 29.4072185015856 31.4013009284647 32.2558909348354 32.6797337810454 32.5613820345513 31.4807734974857 31.4807734974857 35.9729787479436 35.2575821632738 35.3814287444699 34.8632758070724 36.3545334174433 30.4670559785484 33.563877904676 32.6900015295197 30.0656332047073 34.7283371326644 34.7283371326644 29.535372013909 29.6977928472807 29.9122382980612
A0203 33.486539086624 34.8110815689487 35.2908755912913 20.079228072812 17.9996861083742 0 16.8472104515852 15.591988327343 14.4213106200511 13.2846226894105 13.9341738183503 12.7541444244606 29.2020341757214 32.0087363074521 26.6062511451726 21.4839777508729 19.0742339295711 21.0841385880477 23.3206732321346 25.4213119252331 27.9201378936423 27.9201378936423 29.632116022991 27.7787400722207 28.1294632014193 28.9990551570219 24.1055201146957 26.2822487622349 27.6081111269859 28.8635427485955 29.7088236051177 26.5663828926709 29.6819035777694 30.8855807780912 33.6980815477677 31.7828570144347 32.6878433060366 36.6791221268994 38.9240568286503 35.2955507111024 35.2667392878899 35.6888315863661 33.2248205412761 36.3547575978716 35.2367946896422 34.5698510265809 36.1624542861792 34.4302846343157 34.8483457283125 34.8483457283125 35.5573100782385 35.4346299543257 36.1271933590197 37.3963902001249 33.4536186383476 34.3663774640272 32.4444648592021 31.6375805016755 38.7597394212087 40.4784510573218 37.0493981057722 41.2283240018316 35.2988512560961 36.4042277764548 33.8100443655432 35.1793547410978 36.3208273584179 36.5495266727218 37.1512489695838 37.3701030236739 37.6507038446826 32.7880084787106 33.2599518941324 28.5826853182132 27.3333861788107 27.1942898418032 26.7666546284738 27.2759289484336 28.5259758816416 27.2860183977069 27.2860183977069 34.1511800674589 30.5022130344669 30.6452834870229 30.0455637324381 31.7638158916714 29.8219147607929 32.9793723409042 32.2648090029989 32.5475805552425 34.3284007783643 34.3284007783643 33.4694771396268 33.6128933595428 33.8025102618134
A0211 31.5600633712925 33.6830832911715 34.1787155990391 18.8504933622439 15.964172386942 16.8472104515852 0 13.19000379075 11.7830513874802 10.3608542118881 14.2303794749121 13.0771059489476 30.07097105183 32.8034098837301 30.5866686646323 26.2528665101547 24.3203227774633 25.9266773806441 26.3444320492965 28.2208858826225 28.5111942927686 28.5111942927686 27.4363189950839 30.4215597890706 26.3830589583543 26.7513457605407 21.3486627215852 25.3559125254841 21.871883778038 23.4366294504991 24.4700980790842 30.5519950248752 33.2236858280354 30.0205096559002 32.9070296441353 30.9428812491662 31.8717272829698 35.5831097572992 37.8930323410518 37.974486171639 38.2114904184592 37.734175491191 35.4127660597135 34.5884041262386 33.4113902733783 32.7072453746872 35.4264731521499 33.6564466335946 34.0840006454641 34.0840006454641 38.5631974815367 38.4501092326147 39.0892824185863 40.2652194828241 36.6325333549292 37.4679302871135 35.7133196440768 36.0722996217319 38.0739976887114 40.3971199468477 36.9605221824584 41.1484750628744 34.5444756799115 35.6732350649615 33.0216747001117 34.4223604652557 34.5527393993588 35.8214991311084 36.4352466713209 36.6583755777585 36.9443825229222 31.8708267856358 32.3561508835646 30.3732876060528 27.7208856279881 29.8279181305032 29.9916138278686 31.1709480125324 31.0468452503632 29.9115713395335 29.9115713395335 33.9574675145247 33.8638465033138 33.9927712903788 32.7796034143185 34.3614100409165 32.747361725794 35.6466281715396 35.4597377316866 33.0559994554695 37.3472114086179 37.3472114086179 32.5744531803682 32.721792432567 32.916542953354
A0207 31.5391534445679 33.6634920945525 34.1594086599871 19.2561548601999 14.6334001517077 15.591988327343 13.19000379075 0 9.90564990295942 8.16265275507907 12.7194850524697 11.4145652567235 30.3269137895698 33.0381915364628 30.8383316669368 26.5456474775056 24.6360812630581 26.2231005031823 26.636206561746 28.4934518793354 28.7810111010715 28.7810111010715 27.7166015232748 30.6745774217022 26.6744109588197 27.0387296299216 21.7076898816986 25.6589302193213 25.541250948221 26.8933411832743 27.7985952882515 30.8039413062679 32.3519566641648 29.0528277453331 32.0266826255858 30.0049612564322 30.9619573024704 35.7996661995611 38.0964604655078 38.1774802730615 38.4132320952039 37.9384554245425 35.6303578427161 34.8111490761221 33.6419291955738 32.9427123959154 34.6102701520806 32.7962223434346 33.234844666404 33.234844666404 37.8147590234289 37.6994257250691 38.351112109038 39.5490037801207 35.843804206585 36.6971606531077 34.9038250052913 35.2710447818037 37.3157486860441 39.6832848942725 35.5078864479428 40.4479022941858 33.7069221377449 34.8628096974412 32.1444676421931 33.5817614189607 34.7757127892442 35.014505565551 35.6421520113474 35.8702146634223 36.1624556688287 32.7996432907433 32.5404594312987 31.3465085775115 27.9983195924327 30.0859286045819 30.9768284367525 31.417931185869 31.2948078760679 30.1688664023029 30.1688664023029 34.830684747791 34.0913258762401 34.219393624084 33.4333904951323 34.9856499153581 33.6519939973844 36.4794339320116 33.75786723121 33.2889996845805 37.3295432599972 37.3295432599972 32.223510050893 32.3724466174554 32.5692861450785
A0206 29.4554867554417 31.7196815873047 32.2455066637198 16.5129524919077 13.3791068461239 14.4213106200511 11.7830513874802 9.90564990295942 0 5.61186243594762 7.97893476599477 9.75481419607775 29.7419871562073 32.5020953170715 29.2041229965907 24.628225677056 22.5569191158722 24.2802203449639 25.9682806515949 26.7161917196295 27.0226701123335 27.0226701123335 27.0753411797525 28.2322404353604 23.8254884524956 24.5136574178559 20.8827177350076 23.6697866488061 22.8513019322751 24.3531989685134 25.3493274072509 29.1678058825137 30.7981687767309 27.3119918717035 30.4563047660086 28.3227082038424 29.3346365240819 34.4019505260966 35.8233778418507 36.8700162733894 37.1140741498424 36.6224589562197 34.2257286262835 33.3720571736295 32.1505443188758 31.4181539877823 33.162462212568 31.264521426051 31.7243282040771 31.7243282040771 36.4943022950158 36.3747824735764 36.5373767531277 37.792800901759 34.4478794702954 35.3349642705352 33.4687182306105 33.8515095675215 35.9769815298616 38.4270894031801 34.2503737205888 38.7324786193706 32.2185459013904 33.4259420211308 30.5801389794095 32.0875801518282 32.7646501583643 33.0179905506074 33.6828606267342 33.924097629856 34.2329563432666 30.1295652142542 30.6424803173633 29.7402370535273 26.1874779236184 28.4084705677726 29.350332195735 29.815507709915 29.6857390004022 28.4962909867232 28.4962909867232 32.3287905743472 32.6204935584978 32.7543126931401 32.1939047025986 33.1195289821579 32.1610758526514 34.0987272489751 35.1811810489642 31.7810572511362 35.586546615259 35.586546615259 30.5398608379279 30.6969672769151 30.9044802577231
A0201 30.7386906032121 32.9147322638359 33.4217608752142 17.440487378511 12.1452665676798 13.2846226894105 10.3608542118881 8.16265275507907 5.61186243594762 0 9.75481419607775 7.97893476599477 29.2077523955542 32.0139532079373 29.7384229575141 25.2595031621764 23.2445176331969 24.9203150060347 25.3546563770839 27.2992289268397 27.5992336850138 27.5992336850138 26.4873762385027 29.5685779164301 25.3947888355072 25.777199227224 20.114544489001 24.3259491078971 24.2017891900578 25.6246541440075 26.5731631538287 29.7027591310976 31.3052743159998 27.8825734106449 30.9690087022494 28.8733233279441 29.8666017484413 34.8566665072838 37.2117105223611 37.2946524316825 37.5359494351748 37.0499325235553 34.6827550808756 33.8406146516283 32.6366435161461 31.9154100709986 33.633939703817 31.7641826590895 32.216858940623 32.216858940623 36.9232596069198 36.8051327942177 37.4723751582416 38.6974779539959 34.9019970775312 35.777824137306 33.9359411244185 34.3135206587724 36.4120337251299 38.8347035523641 35.2460934005458 39.6157026947648 32.7036343546096 33.8937545869442 31.0908008902955 32.5746189540261 33.8041609864821 34.0497679874621 34.6948713789228 34.9291196568136 35.2291683126355 31.7677147431161 32.2545903709844 30.2650739301922 26.7820275558069 28.95745499867 29.8820180041442 30.3390425030191 30.2115226362393 29.043615477416 29.043615477416 33.8607102701641 33.0996918414658 33.2315813647199 32.6793589288407 34.2657934389385 32.6470182405683 35.5544680736472 34.7307140727051 32.2727222279125 36.6557457978964 36.6557457978964 31.7793093065284 31.9303178812864 32.129866168411
